Date,Open,High,Low,Close,Volume,AdjustedClose
20190102,3610,3640,3590,3610,74945100,3521.911
20190103,3580,3640,3580,3620,93458300,3531.667
20190104,3620,3660,3610,3660,114459600,3570.691
20190107,3700,3710,3660,3660,74641100,3570.691
20190108,3660,3680,3630,3680,81361900,3590.203
20190109,3710,3740,3690,3720,119390300,3629.227
20190110,3740,3750,3710,3750,141926800,3658.495
20190111,3760,3770,3700,3730,107861300,3638.983
20190114,3730,3790,3730,3790,115067500,3697.519
20190115,3770,3790,3740,3780,140860200,3687.763
20190116,3790,3800,3760,3780,103772600,3687.763
20190117,3790,3840,3780,3810,119859400,3717.031
20190118,3850,3850,3790,3820,66594600,3726.787
20190121,3800,3830,3800,3800,80926000,3707.275
20190122,3770,3790,3740,3770,119687600,3678.007
20190123,3760,3810,3730,3770,163458500,3678.007
20190124,3750,3810,3750,3790,176166500,3697.519
20190125,3820,3820,3780,3780,127141300,3687.763
20190128,3750,3790,3750,3780,93581100,3687.763
20190129,3780,3820,3650,3690,187613500,3599.959
20190130,3700,3760,3700,3750,144747500,3658.495
20190131,3800,3870,3800,3850,252448500,3756.055
20190201,3880,3930,3870,3920,140105900,3824.347
20190204,3950,3950,3890,3900,75955600,3804.835
20190206,3920,3940,3910,3920,78073900,3824.347
20190207,3930,3930,3890,3930,82938300,3834.103
20190208,3860,3910,3850,3890,78473000,3795.079
20190211,3890,3920,3860,3870,55587600,3775.567
20190212,3900,3900,3820,3850,94961400,3756.055
20190213,3890,3890,3780,3790,108181100,3697.519
20190214,3820,3850,3750,3800,119542400,3707.275
20190215,3840,3840,3750,3770,87738200,3678.007
20190218,3790,3860,3790,3840,93662400,3746.299
20190219,3900,4000,3880,3910,139946000,3814.591
20190220,3910,3940,3860,3890,124066500,3795.079
20190221,3830,3940,3830,3910,114540900,3814.591
20190222,3860,3910,3860,3900,81700600,3804.835
20190225,3940,3970,3900,3960,106730500,3863.371
20190226,3960,3970,3910,3940,61418800,3843.859
20190227,3910,3920,3850,3870,88062100,3775.567
20190228,3850,3870,3840,3850,106492300,3756.055
20190301,3870,3890,3860,3870,71431900,3775.567
20190304,3900,3920,3880,3880,57026900,3785.323
20190305,3900,3900,3860,3860,70615700,3765.811
20190306,3890,3920,3860,3900,56508700,3804.835
20190308,3820,3880,3810,3850,129784700,3756.055
20190311,3900,3900,3830,3850,69676100,3756.055
20190312,3880,3890,3810,3830,79468800,3736.543
20190313,3800,3810,3780,3800,84077200,3707.275
